Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Raft 1 person,0.3,0.7,0.9,1.2,1.4,1.4,1.4
Raft 4 person,0.4,1.0,1.3,1.8,2.0,2.2,2.2
Raft 6 person,0.4,1.1,1.5,2.2,2.5,2.8,2.8
Raft 8 person,0.4,1.2,1.6,2.3,2.7,2.9,2.9
Raft 10 person,0.4,1.2,1.7,2.5,2.9,3.2,3.2
Raft 15 person,0.5,1.3,1.9,2.7,3.3,3.6,4.0
Raft 20 person,0.5,1.5,2.1,3.2,3.8,4.2,4.8
Raft 25 person,0.5,1.6,2.3,3.4,4.1,4.6,5.3
Power Boat ≤ 15ft,0.4,0.9,1.2,1.5,1.7,1.8,1.8
Power Boat 20ft,0.5,1.7,2.4,3.6,4.3,4.8,4.8
Power Boat 33ft,0.6,2.1,3.3,5.3,6.7,7.7,9.1
Power Boat 53ft,0.6,2.7,4.5,8.1,10.9,13.1,16.5
Power Boat 78ft,0.6,2.8,5.0,9.8,13.5,16.7,21.7
Sail Boat 15ft,0.5,1.6,2.2,3.2,3.9,4.3,4.3
Sail Boat 20ft,0.6,1.8,2.7,4.0,5.0,5.6,5.6
Sail Boat 25ft,0.6,2.0,3.1,4.9,6.1,7.0,7.0
Sail Boat 30ft,0.6,2.3,3.6,5.9,7.6,8.8,10.6
Sail Boat 40ft,0.6,2.6,4.3,7.6,10.0,11.9,14.8
Sail Boat 50ft,0.6,2.7,4.6,8.4,11.3,13.7,17.3
Sail Boat 70ft,0.6,2.8,4.9,9.3,12.7,15.5,20.0
Sail Boat 83ft,0.6,2.8,5.1,9.9,13.7,17.0,22.1
Ship 120ft,0.6,2.9,5.4,11.1,15.9,20.1,26.9
Ship 225ft,0.6,3.0,5.7,12.5,18.9,24.7,34.8
Ship ≥ 300ft,0.7,3.0,5.8,13.2,20.6,27.9,41.4
