Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Raft 1 person,0.2,0.8,1.2,1.6,1.8,1.8,1.8
Raft 4 person,0.3,1.2,1.7,2.3,2.7,3.0,3.0
Raft 6 person,0.3,1.4,2.0,2.8,3.3,3.6,3.6
Raft 8 person,0.3,1.5,2.1,3.0,3.6,3.9,3.9
Raft 10 person,0.3,1.6,2.3,3.3,3.9,4.2,4.2
Raft 15 person,0.3,1.7,2.5,3.6,4.3,4.7,5.3
Raft 20 person,0.4,1.8,2.7,4.0,4.9,5.4,6.2
Raft 25 person,0.4,1.9,2.9,4.3,5.3,5.9,6.8
Power Boat ≤ 15ft,0.3,1.3,1.7,2.3,2.6,2.7,2.7
Power Boat 20ft,0.4,2.1,3.0,4.5,5.5,6.1,6.1
Power Boat 33ft,0.5,2.6,4.0,6.4,8.0,9.3,11.0
Power Boat 53ft,0.5,3.0,5.2,9.3,12.4,14.9,18.7
Power Boat 78ft,0.5,3.2,5.7,10.9,15.1,18.5,24.0
Sail Boat 15ft,0.4,1.9,2.8,4.2,5.0,5.6,5.6
Sail Boat 20ft,0.5,2.2,3.3,5.1,6.2,7.0,7.0
Sail Boat 25ft,0.5,2.5,3.8,6.0,7.5,8.6,8.6
Sail Boat 30ft,0.5,2.7,4.3,7.0,9.0,10.4,12.6
Sail Boat 40ft,0.5,3.0,4.9,8.7,11.4,13.6,17.0
Sail Boat 50ft,0.5,3.1,5.3,9.6,12.9,15.5,19.6
Sail Boat 70ft,0.5,3.2,5.6,10.5,14.3,17.4,22.4
Sail Boat 83ft,0.5,3.2,5.7,11.1,15.4,18.9,24.6
Ship 120ft,0.5,3.3,6.0,12.2,17.5,22.0,29.4
Ship 225ft,0.5,3.4,6.3,13.6,20.4,26.6,37.4
Ship ≥ 300ft,0.6,3.4,6.4,14.3,22.2,29.8,43.9
