Search,Object,1,3,5,10,15,20,30
Person in Water,0.3,0.4,0.5,0.5,0.5,0.5
Raft 1 person,0.9,1.8,2.3,3.1,3.4,3.7
Raft 4 person,1.0,2.2,3.0,4.0,4.6,5.0
Raft 6 person,1.1,2.5,3.4,4.7,5.5,6.0
Raft 8 person,1.1,2.5,3.5,4.8,5.7,6.2
Raft 10 person,1.1,2.6,3.6,5.1,6.1,6.7
Raft 15 person,1.1,2.8,3.8,5.5,6.5,7.2
Raft 20 person,1.2,3.0,4.1,6.1,7.3,8.1
Raft 25 person,1.2,3.1,4.3,6.4,7.8,8.7
Power Boat ≤,15ft,0.5,1.1,1.4,1.9,2.1,2.3
Power Boat 20ft,1.0,2.0,2.9,4.3,5.2,5.8
Power Boat 33ft,1.1,2.5,3.8,6.1,7.7,8.8
Power Boat 53ft,1.2,3.1,5.1,9.1,12.1,14.4
Power Boat 78ft,1.2,3.2,5.6,10.7,14.7,18.1
Sail Boat 15ft,1.0,1.9,2.7,3.9,4.7,5.2
Sail Boat 20ft,1.0,2.2,3.2,4.8,5.9,6.6
Sail Boat 25ft,1.1,2.4,3.6,5.7,7.0,8.1
Sail Boat 30ft,1.1,2.7,4.1,6.8,8.6,10.0
Sail Boat 40ft,1.2,3.0,4.9,8.5,11.2,13.3
Sail Boat 50ft,1.2,3.1,5.2,9.4,12.5,15.0
Sail Boat 70ft,1.2,3.2,5.5,10.2,13.9,16.9
Sail Boat 83ft,1.2,3.3,5.7,10.8,15.0,18.4
Ship 120ft,1.8,3.3,6.0,12.0,17.1,21.5,1.4
Ship 225ft,1.8,3.4,6.3,13.4,20.1,26.0,1.4
Ship ≥ 300ft,1.8,3.4,6.4,14.1,21.8,29.2
