Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.1,0.1,0.1,0.1
Raft 1 person,0.3,0.9,1.2,1.6,1.8,1.8,1.8
Raft 4 person,0.4,1.2,1.7,2.3,2.7,2.9,2.9
Raft 6 person,0.4,1.4,2.0,2.8,3.3,3.6,3.6
Raft 8 person,0.4,1.5,2.1,3.0,3.5,3.9,3.9
Raft 10 person,0.4,1.6,2.2,3.2,3.8,4.2,4.2
Raft 15 person,0.5,1.7,2.4,3.5,4.2,4.6,5.2
Raft 20 person,0.5,1.9,2.7,4.0,4.8,5.3,6.1
Raft 25 person,0.5,2.0,2.9,4.3,5.2,5.8,6.7
Power Boat ≤ 15ft,0.4,1.3,1.7,2.2,2.5,2.6,2.6
Power Boat 20ft,0.6,2.1,3.0,4.5,5.4,6.1,6.1
Power Boat 33ft,0.6,2.6,4.0,6.3,7.9,9.2,10.9
Power Boat 53ft,0.7,3.1,5.2,9.3,12.4,14.8,18.6
Power Boat 78ft,0.7,3.2,5.7,10.9,15.1,18.5,24.0
Sail Boat 15ft,0.6,2.0,2.8,4.1,4.9,5.5,5.5
Sail Boat 20ft,0.6,2.2,3.3,5.0,6.1,6.9,6.9
Sail Boat 25ft,0.6,2.5,3.8,5.9,7.4,8.4,8.4
Sail Boat 30ft,0.6,2.7,4.2,7.0,8.9,10.3,12.5
Sail Boat 40ft,0.6,3.0,4.9,8.7,11.4,13.6,16.9
Sail Boat 50ft,0.7,3.1,5.3,9.6,12.8,15.5,19.5
Sail Boat 70ft,0.7,3.2,5.6,10.4,14.3,17.4,22.3
Sail Boat 83ft,0.7,3.3,5.7,11.1,15.3,18.8,24.5
Ship 120ft,0.7,3.3,6.0,12.2,17.5,22.0,29.4
Ship 225ft,0.7,3.4,6.3,13.6,20.4,26.6,37.3
Ship ≥ 300ft,0.7,3.4,6.4,14.3,22.2,29.8,43.9
