Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Raft 1 person,0.4,0.9,1.2,1.6,1.8,1.8,1.8
Raft 4 person,0.5,1.2,1.7,2.3,2.6,2.9,2.9
Raft 6 person,0.5,1.4,2.0,2.8,3.2,3.5,3.5
Raft 8 person,0.5,1.5,2.1,2.9,3.4,3.8,3.8
Raft 10 person,0.5,1.6,2.2,3.2,3.7,4.1,4.1
Raft 15 person,0.6,1.7,2.4,3.5,4.1,4.5,5.1
Raft 20 person,0.6,1.8,2.7,3.9,4.7,5.2,6.0
Raft 25 person,0.6,1.9,2.8,4.2,5.1,5.7,6.5
Power Boat ≤ 15ft,0.5,1.2,1.6,2.1,2.3,2.5,2.5
Power Boat 20ft,0.7,2.1,3.0,4.4,5.3,5.9,5.9
Power Boat 33ft,0.7,2.6,3.9,6.3,7.9,9.1,10.8
Power Boat 53ft,0.7,3.1,5.2,9.2,12.3,14.8,18.6
Power Boat 78ft,0.8,3.3,5.7,10.9,15.0,18.5,23.9
Sail Boat 15ft,0.6,1.9,2.8,4.0,4.8,5.4,5.4
Sail Boat 20ft,0.7,2.2,3.2,4.9,6.0,6.8,6.8
Sail Boat 25ft,0.7,2.5,3.7,5.8,7.3,8.3,8.3
Sail Boat 30ft,0.7,2.7,4.2,6.9,8.8,10.3,12.4
Sail Boat 40ft,0.7,3.0,4.9,8.6,11.4,13.5,16.8
Sail Boat 50ft,0.7,3.1,5.3,9.5,12.8,15.4,19.5
Sail Boat 70ft,0.8,3.2,5.6,10.4,14.2,17.3,22.2
Sail Boat 83ft,0.8,3.3,5.7,11.0,15.3,18.8,24.4
Ship 120ft,0.8,3.4,6.0,12.2,17.4,21.9,29.3
Ship 225ft,0.8,3.4,6.3,13.6,20.4,26.6,37.3
Ship ≥ 300ft,0.8,3.5,6.4,14.3,22.2,29.8,43.9
