Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raft 1 person,0.1,0.5,0.8,1.1,1.3,1.3,1.3
Raft 4 person,0.1,0.7,1.2,1.8,2.1,2.3,2.3
Raft 6 person,0.1,0.9,1.5,2.2,2.7,2.9,2.9
Raft 8 person,0.1,1.0,1.6,2.5,2.9,3.2,3.2
Raft 10 person,0.1,1.1,1.8,2.7,3.2,3.5,3.5
Raft 15 person,0.1,1.2,2.0,3.0,3.6,4.0,4.5
Raft 20 person,0.1,1.4,2.2,3.4,4.1,4.6,5.3
Raft 25 person,0.1,1.5,2.4,3.7,4.5,5.1,5.8
Power Boat ≤ 15ft,0.1,0.8,1.3,1.8,2.1,2.3,2.3
Power Boat 20ft,0.1,1.6,2.5,3.9,4.7,5.3,5.3
Power Boat 33ft,0.2,2.1,3.4,5.6,7.1,8.1,9.7
Power Boat 53ft,0.2,2.5,4.5,8.3,11.1,13.4,16.8
Power Boat 78ft,0.2,2.7,5.0,9.9,13.7,16.8,21.9
Sail Boat 15ft,0.1,1.5,2.3,3.5,4.3,4.7,4.7
Sail Boat 20ft,0.1,1.7,2.8,4.4,5.3,6.0,6.0
Sail Boat 25ft,0.2,2.0,3.3,5.3,6.6,7.5,7.5
Sail Boat 30ft,0.2,2.2,3.7,6.2,7.9,9.2,11.1
Sail Boat 40ft,0.2,2.4,4.3,7.7,10.2,12.1,15.1
Sail Boat 50ft,0.2,2.6,4.6,8.6,11.6,14.0,17.7
Sail Boat 70ft,0.2,2.6,4.9,9.4,13.0,15.8,20.3
Sail Boat 83ft,0.2,2.7,5.1,10.0,14.0,17.2,22.5
Ship 120ft,0.2,2.8,5.3,11.1,16.0,20.2,27.1
Ship 225ft,0.2,2.8,5.6,12.5,18.9,24.8,35.0
Ship ≥ 300ft,0.2,2.9,5.7,13.2,20.7,27.9,41.5
