Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Raft 1 person,0.1,0.6,0.9,1.2,1.4,1.4,1.4
Raft 4 person,0.2,0.9,1.3,1.9,2.2,2.3,2.3
Raft 6 person,0.2,1.1,1.6,2.3,2.7,2.9,2.9
Raft 8 person,0.2,1.2,1.7,2.5,2.9,3.2,3.2
Raft 10 person,0.2,1.2,1.8,2.7,3.1,3.5,3.5
Raft 15 person,0.2,1.4,2.0,3.0,3.5,3.9,4.4
Raft 20 person,0.4,1.5,2.2,3.4,4.0,4.5,5.1
Raft 25 person,0.3,1.6,2.4,3.6,4.4,4.9,5.7
Power Boat ≤ 15ft,0.2,1.0,1.3,1.8,2.0,2.2,2.2
Power Boat 20ft,0.3,1.7,2.5,3.8,4.6,5.1,5.1
Power Boat 33ft,0.3,2.2,3.4,5.5,6.9,8.0,9.5
Power Boat 53ft,0.4,2.6,4.5,8.3,11.0,13.3,16.7
Power Boat 78ft,0.4,2.8,5.0,9.8,13.6,16.8,21.8
Sail Boat 15ft,0.3,1.6,2.3,3.5,4.1,4.5,4.5
Sail Boat 20ft,0.3,1.8,2.8,4.3,5.2,5.9,5.9
Sail Boat 25ft,0.3,2.1,3.3,5.2,6.4,7.3,7.3
Sail Boat 30ft,0.3,2.3,3.7,6.1,7.8,9.1,10.9
Sail Boat 40ft,0.4,2.5,4.3,7.7,10.1,12.1,15.0
Sail Boat 50ft,0.4,2.7,4.6,8.6,11.5,13.9,17.5
Sail Boat 70ft,0.4,2.7,4.9,9.4,12.9,15.7,20.2
Sail Boat 83ft,0.4,2.8,5.1,10.0,13.9,17.1,22.3
Ship 120ft,0.4,2.9,5.4,11.1,16.0,20.1,27.1
Ship 225ft,0.4,3.0,5.7,12.5,18.9,24.7,34.9
Ship ≥ 300ft,0.5,3.0,5.8,13.2,20.7,27.9,41.5
