Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Raft 1 person,0.2,0.7,0.9,1.3,1.4,1.4,1.4
Raft 4 person,0.3,1.0,1.3,1.9,2.1,2.3,2.3
Raft 6 person,0.3,1.1,1.6,2.3,2.6,2.9,2.9
Raft 8 person,0.3,1.2,1.7,2.4,2.8,3.1,3.1
Raft 10 person,0.3,1.3,1.8,2.6,3.1,3.4,3.4
Raft 15 person,0.3,1.4,2.0,2.9,3.4,3.8,4.3
Raft 20 person,0.4,1.5,2.2,3.3,4.0,4.4,5.1
Raft 25 person,0.4,1.6,2.4,3.6,4.3,4.8,5.6
Power Boat ≤ 15ft,0.3,1.0,1.3,1.7,2.0,2.1,2.1
Power Boat 20ft,0.4,1.7,2.5,3.7,4.5,5.1,5.1
Power Boat 33ft,0.5,2.2,3.4,5.5,6.8,7.9,9.4
Power Boat 53ft,0.5,2.6,4.5,8.2,11.0,13.2,16.6
Power Boat 78ft,0.5,2.8,5.1,9.8,13.6,16.7,21.8
Sail Boat 15ft,0.4,1.6,2.3,3.4,4.1,4.5,4.5
Sail Boat 20ft,0.4,1.8,2.8,4.2,5.2,5.8,5.8
Sail Boat 25ft,0.5,2.1,3.2,5.1,6.3,7.2,7.2
Sail Boat 30ft,0.5,2.3,3.7,6.1,7.7,9.0,10.8
Sail Boat 40ft,0.5,2.6,4.3,7.6,10.1,12.0,14.9
Sail Boat 50ft,0.5,2.7,4.6,8.5,11.4,13.8,17.5
Sail Boat 70ft,0.5,2.8,4.9,9.4,12.8,15.7,20.2
Sail Boat 83ft,0.5,2.8,5.1,10.0,13.8,17.1,22.3
Ship 120ft,0.5,2.9,5.4,11.1,16.0,20.1,27.0
Ship 225ft,0.5,3.0,5.7,12.5,18.9,24.7,34.9
Ship ≥ 300ft,0.6,3.0,5.8,13.2,20.7,27.9,41.4
